51 41
2500 200 5.70013
2500 300 7.96987
2500 400 10.21827
2500 500 12.43883
2500 600 14.62553
2500 700 16.77294
2500 800 18.87628
2500 900 20.93139
2500 1000 22.93483
2500 1100 24.88384
2500 1200 26.77626
2500 1300 28.61061
2500 1400 30.38593
2500 1500 32.10179
2500 1600 33.75820
2500 1700 35.35559
2500 1800 36.89471
2500 1900 38.37660
2500 2000 39.80252
2500 2100 41.17391
2500 2200 42.49238
2500 2300 43.75961
2500 2400 44.97737
2500 2500 46.14746
2500 2600 47.27173
2500 2700 48.35199
2500 2800 49.39006
2500 2900 50.38772
2500 3000 51.34673
2600 -1000 -19.87714
2600 -900 -17.93223
2600 -800 -15.94057
2600 -700 -13.90543
2600 -600 -11.83065
2600 -500 -9.72066
2600 -400 -7.58039
2600 -300 -5.41526
2600 -200 -3.23111
2600 -100 -1.03408
2600 0 1.16943
2600 100 3.37295
2600 200 5.56999
2600 300 7.75415
2600 400 9.91930
2600 500 12.05960
2600 600 14.16963
2600 700 16.24444
2600 800 18.27962
2600 900 20.27133
2600 1000 22.21630
2600 1100 24.11184
2600 1200 25.95583
2600 1300 27.74670
2600 1400 29.48337
2600 1500 31.16521
2600 1600 32.79205
2600 1700 34.36403
2600 1800 35.88164
2600 1900 37.34565
2600 2000 38.75703
2600 2100 40.11697
2600 2200 41.42677
2600 2300 42.68787
2600 2400 43.90178
2600 2500 45.07009
2600 2600 46.19439
2600 2700 47.27632
2600 2800 48.31749
2600 2900 49.31954
2600 3000 50.28404
2700 -1000 -19.11811
2700 -900 -17.22899
2700 -800 -15.29747
2700 -700 -13.32663
2700 -600 -11.32005
2700 -500 -9.28178
2700 -400 -7.21633
2700 -300 -5.12861
2700 -200 -3.02386
2700 -100 -0.90761
2700 0 1.21444
2700 100 3.33649
2700 200 5.45275
2700 300 7.55751
2700 400 9.64526
2700 500 11.71073
2700 600 13.74904
2700 700 15.75566
2700 800 17.72654
2700 900 19.65811
2700 1000 21.54729
2700 1100 23.39148
2700 1200 25.18862
2700 1300 26.93708
2700 1400 28.63570
2700 1500 30.28373
2700 1600 31.88080
2700 1700 33.42687
2700 1800 34.92221
2700 1900 36.36735
2700 2000 37.76303
2700 2100 39.11018
2700 2200 40.40988
2700 2300 41.66333
2700 2400 42.87182
2700 2500 44.03672
2700 2600 45.15943
2700 2700 46.24139
2700 2800 47.28406
2700 2900 48.28889
2700 3000 49.25732
2800 -1000 -18.40414
2800 -900 -16.56824
2800 -800 -14.69378
2800 -700 -12.78366
2800 -600 -10.84120
2800 -500 -8.87014
2800 -400 -6.87460
2800 -300 -4.85902
2800 -200 -2.82815
2800 -100 -0.78695
2800 0 1.25945
2800 100 3.30585
2800 200 5.34705
2800 300 7.37794
2800 400 9.39354
2800 500 11.38911
2800 600 13.36021
2800 700 15.30271
2800 800 17.21287
2800 900 19.08738
2800 1000 20.92334
2800 1100 22.71828
2800 1200 24.47016
2800 1300 26.17737
2800 1400 27.83869
2800 1500 29.45326
2800 1600 31.02060
2800 1700 32.54049
2800 1800 34.01303
2800 1900 35.43856
2800 2000 36.81759
2800 2100 38.15087
2800 2200 39.43926
2800 2300 40.68376
2800 2400 41.88547
2800 2500 43.04554
2800 2600 44.16522
2800 2700 45.24577
2800 2800 46.28848
2800 2900 47.29466
2800 3000 48.26560
2900 -1000 -17.73126
2900 -900 -15.94611
2900 -800 -14.12581
2900 -700 -12.27308
2900 -600 -10.39101
2900 -500 -8.48304
2900 -400 -6.55294
2900 -300 -4.60475
2900 -200 -2.64278
2900 -100 -0.67150
2900 0 1.30446
2900 100 3.28042
2900 200 5.25170
2900 300 7.21369
2900 400 9.16190
2900 500 11.09204
2900 600 13.00005
2900 700 14.88216
2900 800 16.73494
2900 900 18.55529
2900 1000 20.34049
2900 1100 22.08820
2900 1200 23.79645
2900 1300 25.46362
2900 1400 27.08848
2900 1500 28.67010
2900 1600 30.20789
2900 1700 31.70152
2900 1800 33.15092
2900 1900 34.55627
2900 2000 35.91795
2900 2100 37.23648
2900 2200 38.51256
2900 2300 39.74701
2900 2400 40.94075
2900 2500 42.09478
2900 2600 43.21016
2900 2700 44.28800
2900 2800 45.32944
2900 2900 46.33566
2900 3000 47.30781
3000 -1000 -17.09593
3000 -900 -15.35920
3000 -800 -13.59034
3000 -700 -11.79190
3000 -600 -9.96677
3000 -500 -8.11812
3000 -400 -6.24939
3000 -300 -4.36429
3000 -200 -2.46672
3000 -100 -0.56074
3000 0 1.34947
3000 100 3.25969
3000 200 5.16568
3000 300 7.06327
3000 400 8.94839
3000 500 10.81715
3000 600 12.66584
3000 700 14.49101
3000 800 16.28949
3000 900 18.05841
3000 1000 19.79521
3000 1100 21.49766
3000 1200 23.16387
3000 1300 24.79226
3000 1400 26.38157
3000 1500 27.93084
3000 1600 29.43939
3000 1700 30.90681
3000 1800 32.33290
3000 1900 33.71772
3000 2000 35.06147
3000 2100 36.36456
3000 2200 37.62751
3000 2300 38.85100
3000 2400 40.03577
3000 2500 41.18268
3000 2600 42.29265
3000 2700 43.36664
3000 2800 44.40565
3000 2900 45.41073
3000 3000 46.38292
3100 -1000 -16.49501
3100 -900 -14.80446
3100 -800 -13.08448
3100 -700 -11.33747
3100 -600 -9.56610
3100 -500 -7.77330
3100 -400 -5.96225
3100 -300 -4.13633
3100 -200 -2.29908
3100 -100 -0.45422
3100 0 1.39449
3100 100 3.24320
3100 200 5.08808
3100 300 6.92534
3100 400 8.75129
3100 500 10.56237
3100 600 12.35520
3100 700 14.12661
3100 800 15.87368
3100 900 17.59371
3100 1000 19.28434
3100 1100 20.94343
3100 1200 22.56917
3100 1300 24.16003
3100 1400 25.71475
3100 1500 27.23234
3100 1600 28.71208
3100 1700 30.15346
3100 1800 31.55621
3100 1900 32.92025
3100 2000 34.24570
3100 2100 35.53280
3100 2200 36.78196
3100 2300 37.99371
3100 2400 39.16867
3100 2500 40.30755
3100 2600 41.41113
3100 2700 42.48026
3100 2800 43.51580
3100 2900 44.51869
3100 3000 45.48986
3200 -1000 -15.92567
3200 -900 -14.27918
3200 -800 -12.60568
3200 -700 -10.90742
3200 -600 -9.18688
3200 -500 -7.44677
3200 -400 -5.69001
3200 -300 -3.91970
3200 -200 -2.13908
3200 -100 -0.35153
3200 0 1.43951
3200 100 3.23056
3200 200 5.01812
3200 300 6.79875
3200 400 8.56909
3200 500 10.32588
3200 600 12.06603
3200 700 13.78662
3200 800 15.48493
3200 900 17.15849
3200 1000 18.80504
3200 1100 20.42260
3200 1200 22.00941
3200 1300 23.56399
3200 1400 25.08511
3200 1500 26.57175
3200 1600 28.02316
3200 1700 29.43877
3200 1800 30.81825
3200 1900 32.16142
3200 2000 33.46829
3200 2100 34.73900
3200 2200 35.97385
3200 2300 37.17324
3200 2400 38.33767
3200 2500 39.46773
3200 2600 40.56408
3200 2700 41.62746
3200 2800 42.65863
3200 2900 43.65839
3200 3000 44.62758
3300 -1000 -15.38537
3300 -900 -13.78095
3300 -800 -12.15169
